env,algorithm,run,trial,mc_mean,mc_stddev,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,UCT,2,19000,0.417184,0.449124,-0.335525,0,66
bettinggame,UCT,2,20000,0.417184,0.449124,-0.337939,0,66
bettinggame,UCT,2,21000,0.417184,0.449124,-0.339465,0,66
bettinggame,UCT,2,22000,0.417184,0.449124,-0.339463,0,66
bettinggame,UCT,2,23000,0.417184,0.449124,-0.340704,0,66
bettinggame,UCT,2,24000,0.417184,0.449124,-0.342824,0,66
bettinggame,UCT,2,25000,0.417184,0.449124,-0.342101,0,66
bettinggame,UCT,2,26000,0.417184,0.449124,-0.342178,0,66
bettinggame,UCT,2,27000,0.417184,0.449124,-0.342748,0,66
bettinggame,UCT,2,28000,0.417184,0.449124,-0.343821,0,66
bettinggame,UCT,2,29000,0.417184,0.449124,-0.34393,0,66
bettinggame,UCT,2,30000,0.417184,0.449124,-0.344394,0,66
bettinggame,UCT,3,1000,0.342034,0.454375,-0.285635,0,75
bettinggame,UCT,3,2000,0.334684,0.450706,-0.300762,0,72
bettinggame,UCT,3,3000,0.328686,0.457002,-0.313335,0,77
bettinggame,UCT,3,4000,0.348112,0.46201,-0.325395,0,53
bettinggame,UCT,3,5000,0.323321,0.46383,-0.327842,0,75
bettinggame,UCT,3,6000,0.336759,0.451123,-0.329407,0,79
bettinggame,UCT,3,7000,0.338648,0.451523,-0.334056,0,77
bettinggame,UCT,3,8000,0.33517,0.457313,-0.332328,0,73
bettinggame,UCT,3,9000,0.333025,0.455474,-0.330185,0,74
bettinggame,UCT,3,10000,0.33939,0.4587,-0.328397,0,78
bettinggame,UCT,3,11000,0.324981,0.452055,-0.33237,0,80
bettinggame,UCT,3,12000,0.343364,0.454113,-0.335907,0,94
bettinggame,UCT,3,13000,0.344097,0.453744,-0.337929,0,95
bettinggame,UCT,3,14000,0.34458,0.453495,-0.340346,0,97
bettinggame,UCT,3,15000,0.344214,0.453684,-0.339378,0,97
bettinggame,UCT,3,16000,0.344961,0.453313,-0.340839,0,94
bettinggame,UCT,3,17000,0.345327,0.453164,-0.341585,0,94
bettinggame,UCT,3,18000,0.360967,0.468192,-0.341233,0,92
bettinggame,UCT,3,19000,0.360425,0.467822,-0.34307,0,91
bettinggame,UCT,3,20000,0.360425,0.467822,-0.343301,0,91
bettinggame,UCT,3,21000,0.360425,0.467822,-0.343112,0,91
bettinggame,UCT,3,22000,0.353994,0.469428,-0.343757,0,91
bettinggame,UCT,3,23000,0.35535,0.448583,-0.345159,0,90
bettinggame,UCT,3,24000,0.361719,0.472942,-0.346175,0,101
bettinggame,UCT,3,25000,0.362821,0.466311,-0.348625,0,97
bettinggame,UCT,3,26000,0.365293,0.470023,-0.350404,0,100
bettinggame,UCT,3,27000,0.365293,0.470023,-0.351877,0,100
bettinggame,UCT,3,28000,0.365293,0.470023,-0.351731,0,100
bettinggame,UCT,3,29000,0.365293,0.470023,-0.352545,0,100
bettinggame,UCT,3,30000,0.365293,0.470023,-0.352979,0,100
bettinggame,UCT,4,1000,0.307026,0.433221,-0.295628,0,89
bettinggame,UCT,4,2000,0.320249,0.451985,-0.29651,0,65
bettinggame,UCT,4,3000,0.318303,0.459244,-0.304024,0,77
bettinggame,UCT,4,4000,0.317194,0.45739,-0.303104,0,74
bettinggame,UCT,4,5000,0.31886,0.457054,-0.302959,0,72
bettinggame,UCT,4,6000,0.321546,0.456069,-0.303549,0,74
bettinggame,UCT,4,7000,0.324108,0.428021,-0.322913,0,42
bettinggame,UCT,4,8000,0.318948,0.443284,-0.328055,0,94
bettinggame,UCT,4,9000,0.320411,0.42857,-0.328614,0,77
bettinggame,UCT,4,10000,0.326031,0.438795,-0.332107,0,73
bettinggame,UCT,4,11000,0.32079,0.435505,-0.331319,0,69
bettinggame,UCT,4,12000,0.32075,0.443852,-0.331183,0,63
bettinggame,UCT,4,13000,0.322782,0.445022,-0.333072,0,62
bettinggame,UCT,4,14000,0.329839,0.448151,-0.334327,0,76
bettinggame,UCT,4,15000,0.32979,0.448191,-0.336246,0,73
bettinggame,UCT,4,16000,0.329793,0.448188,-0.33826,0,73
bettinggame,UCT,4,17000,0.328921,0.445911,-0.339638,0,73
bettinggame,UCT,4,18000,0.329796,0.448185,-0.339581,0,73
bettinggame,UCT,4,19000,0.329838,0.448153,-0.340002,0,76
bettinggame,UCT,4,20000,0.329837,0.448154,-0.341939,0,76
bettinggame,UCT,4,21000,0.329838,0.448153,-0.343659,0,76
bettinggame,UCT,4,22000,0.329798,0.448184,-0.344546,0,73
bettinggame,UCT,4,23000,0.329798,0.448184,-0.344184,0,73
bettinggame,UCT,4,24000,0.330104
