env,algorithm,trial,mc_mean,mc_stddev,cvar_regret,optimal_action_prob,catastrophic_count
bettinggame,UCT,18000,0.386776,0.468557,-0.337041,0,90.2
bettinggame,UCT,19000,0.386923,0.469189,-0.337324,0,91
bettinggame,UCT,20000,0.387312,0.469287,-0.338194,0,91
bettinggame,UCT,21000,0.387503,0.469312,-0.338694,0,91
bettinggame,UCT,22000,0.384994,0.466243,-0.339553,0,89
bettinggame,UCT,23000,0.385821,0.46733,-0.340024,0,90.2
bettinggame,UCT,24000,0.390878,0.467261,-0.340682,0,89.6
bettinggame,UCT,25000,0.390853,0.467182,-0.341951,0,89.2
bettinggame,UCT,26000,0.390127,0.466435,-0.343,0,88.6
bettinggame,UCT,27000,0.382294,0.472492,-0.343765,0,93.6
bettinggame,UCT,28000,0.386648,0.47252,-0.344309,0,93.8
bettinggame,UCT,29000,0.386739,0.472455,-0.34455,0,94
bettinggame,UCT,30000,0.386776,0.472426,-0.345032,0,93.8
